,address,affiliate,affiliation,age,album,area,artist,birthdate,birthplace,brand,capacity,category,city,class,classification,club,code,collection,command,company,component,continent,country,county,creator,credit,currency,day,depth,description,director,duration,education,elevation,family,filesize,format,gender,genre,grades,industry,isbn,jockey,language,location,manufacturer,name,nationality,notes,operator,order,organisation,origin,owner,person,plays,position,product,publisher,range,rank,ranking,region,religion,requirement,result,sales,service,sex,species,state,status,symbol,team,teamname,type,weight,year,accuracy,macro avg,weighted avg
precision,0.9259954921111946,0.3142857142857143,0.9765886287625418,0.7639421658306285,0.8710387323943662,0.8528209321340965,0.622397476340694,0.9410187667560321,0.8333333333333334,0.14814814814814814,0.43548387096774194,0.6036752605595173,0.6693944353518821,0.8301535597952536,0.769857433808554,0.8190591073582629,0.7781569965870307,0.921832884097035,0.6019417475728155,0.7909893172317696,0.823170731707317,0.6470588235294118,0.745666382495027,0.9538542212899843,0.9207317073170732,0.7249417249417249,0.9694189602446484,0.9297230260438197,0.6915077989601387,0.44433094994892747,0.11764705882352941,0.9132382892057026,0.8850574712643678,0.9465968586387434,0.8703125,0.6648199445983379,0.9604541895066562,0.7353815659068385,0.8744897959183674,0.9933211900425015,0.9264801561483409,0.9985207100591716,0.845351867940921,0.805607476635514,0.47393939393939394,0.4408866995073892,0.24968351348719448,0.52,0.8012924071082391,0.6341463414634146,0.9258373205741627,0.954954954954955,0.9371554575523704,0.6558265582655827,0.6896551724137931,0.7573306370070778,0.506398537477148,0.8271604938271605,0.804093567251462,0.948,0.39841641173294945,0.32558139534883723,0.680161943319838,0.9692307692307692,0.7415730337078652,0.8661193558572782,0.16666666666666666,0.966802562609202,0.9086223055295221,0.8984615384615384,0.8389261744966443,0.6182432432432432,0.6948288419519301,0.32283272283272285,0.7058823529411765,0.4576908612260248,0.8084175084175084,0.8235818235818236,0.6728866497273449,0.7330281791099815,0.7455073382272654
recall,0.8146067415730337,0.12222222222222222,0.6952380952380952,0.8848257006151743,0.6550810989738497,0.5186474390850323,0.6539608882996354,0.7748344370860927,0.06864988558352403,0.044036697247706424,0.08881578947368421,0.7466078697421981,0.8043264503441495,0.6002691790040376,0.6166394779771615,0.2262579140286571,0.8185378590078329,0.6758893280632411,0.11992263056092843,0.5850223290965304,0.32425940752602084,0.13043478260869565,0.8685865607414763,0.6039176626826029,0.4182825484764543,0.3432671081677704,0.8025316455696202,0.7618563685636857,0.8453389830508474,0.8628099173553719,0.024390243902439025,0.7428760768721008,0.506578947368421,0.6802106847253574,0.761969904240766,0.6575342465753424,0.8318073923363852,0.6915191053122087,0.7024590163934427,0.9396898334290638,0.9252761533463287,0.9375,0.6908058217962372,0.8193916349809885,0.78330550918197,0.39211391018619934,0.857238381812103,0.026804123711340205,0.4281398359948209,0.17142857142857143,0.7887228260869565,0.43621399176954734,0.573549257759784,0.1413551401869159,0.03616636528028933,0.49438943894389437,0.5497849818061529,0.4366401158580739,0.31718569780853517,0.39173553719008264,0.748225751943224,0.03146067415730337,0.5013054830287206,0.805111821086262,0.22837370242214533,0.8946510110893673,0.003389830508474576,0.7811764705882352,0.6493636972538513,0.36637390213299875,0.914836992681304,0.8634984833164813,0.572972972972973,0.8711696869851729,0.08494208494208494,0.8105228105228105,0.7968801858612679,0.9070984625449787,0.6728866497273449,0.5646642793370168,0.6728866497273449
f1-score,0.8667369901547116,0.176,0.812239221140473,0.8199524940617576,0.747780086907236,0.6450216450216449,0.6377889122353321,0.8498789346246972,0.12684989429175475,0.06789250353606789,0.14754098360655737,0.667576584774037,0.7306833407771326,0.696738918180043,0.6847826086956521,0.35456919060052217,0.7978368061078416,0.7799315849486887,0.19999999999999998,0.6725908372827805,0.46524985640436534,0.21710526315789472,0.8024464831804282,0.7395812156942468,0.5752380952380953,0.46591760299625457,0.8781163434903048,0.8374604356730591,0.7607244995233556,0.586582762108102,0.04040404040404041,0.8192947195322493,0.6443514644351463,0.7915936952714537,0.8125455871626549,0.6611570247933884,0.8915137197892059,0.7127761767531219,0.7790909090909092,0.9657615112160567,0.9258777633289986,0.9670487106017193,0.7603047470209024,0.8124410933081998,0.5905601006922593,0.41507246376811596,0.3867269984917044,0.05098039215686274,0.5580872011251758,0.2698961937716263,0.8517975055025677,0.5988700564971752,0.7115948095437422,0.23258049014896687,0.06872852233676975,0.5982428115015974,0.5272006344171292,0.5715639810426542,0.45492142266335805,0.5543859649122808,0.519962423673086,0.05737704918032787,0.5771956194975305,0.8795811518324608,0.34920634920634924,0.8801540189314937,0.0066445182724252485,0.8641332639250391,0.757421875,0.5204991087344029,0.8752387014640356,0.7205737589649838,0.6280447662936143,0.47109131403118043,0.15163699023549684,0.5850258382405961,0.8026073875981948,0.8633250311332503,0.6728866497273449,0.5941782560500966,0.6705543423771362
support,3026.0,180.0,1680.0,2926.0,3021.0,2011.0,3017.0,453.0,437.0,545.0,304.0,2948.0,3051.0,2972.0,613.0,3001.0,3064.0,506.0,1034.0,2911.0,1249.0,253.0,3021.0,3012.0,361.0,906.0,395.0,2952.0,944.0,3025.0,246.0,3018.0,304.0,1329.0,731.0,365.0,2949.0,1073.0,1220.0,1741.0,3078.0,1440.0,2817.0,1578.0,2995.0,913.0,2991.0,485.0,2317.0,455.0,1472.0,243.0,1482.0,1712.0,553.0,1515.0,3023.0,2762.0,867.0,605.0,2959.0,445.0,2681.0,313.0,289.0,3066.0,295.0,2125.0,2986.0,797.0,3006.0,2967.0,1665.0,3035.0,1554.0,3003.0,3013.0,3057.0,0.6728866497273449,137353.0,137353.0
