,address,affiliate,affiliation,age,album,area,artist,birthdate,birthplace,brand,capacity,category,city,class,classification,club,code,collection,command,company,component,continent,country,county,creator,credit,currency,day,depth,description,director,duration,education,elevation,family,filesize,format,gender,genre,grades,industry,isbn,jockey,language,location,manufacturer,name,nationality,notes,operator,order,organisation,origin,owner,person,plays,position,product,publisher,range,rank,ranking,region,religion,requirement,result,sales,service,sex,species,state,status,symbol,team,teamname,type,weight,year,accuracy,macro avg,weighted avg
precision,0.927992215374635,0.958904109589041,0.9672813801308745,0.8678304239401496,0.8830275229357798,0.8645229309435951,0.8237375361852686,0.9754464285714286,0.951276102088167,0.8434579439252337,0.77734375,0.9191430545957153,0.8698392688307596,0.9014647137150466,0.9188712522045855,0.9714964370546318,0.9266024576552641,0.9792099792099792,0.9392378990731205,0.8941780821917809,0.8792692613185068,0.91701244813278,0.8839813374805598,0.9508519003931848,0.7556675062972292,0.8646706586826347,0.9719387755102041,0.9572773352643013,0.9521218715995647,0.8076090318589545,0.6898148148148148,0.9365079365079365,0.9322709163346613,0.9412202380952381,0.9686567164179104,0.93993993993994,0.968675519237317,0.8751445086705202,0.9640468227424749,0.9924898902368573,0.9875328083989501,0.9923504867872045,0.986228813559322,0.9409203980099502,0.886421550782672,0.825503355704698,0.7252570694087404,0.900804289544236,0.7190562613430127,0.8326180257510729,0.8577181208053691,0.875,0.9592566118656183,0.94316052467208,0.7148760330578512,0.8366606170598911,0.7997457088366179,0.8673209741912032,0.8803131991051454,0.8589981447124304,0.6277868406742795,0.8251748251748252,0.8749497386409328,0.9770491803278688,0.8969465648854962,0.9612558450233801,0.5088967971530249,0.958455522971652,0.8940543959519291,0.9285714285714286,0.9435194253999347,0.9353117705901968,0.9570996978851963,0.8597857838364168,0.8851578240429818,0.922696787857395,0.9506048387096774,0.9637271214642263,0.895102400384411,0.891933567955225,0.8975835765068633
recall,0.9454725710508922,0.7777777777777778,0.9678571428571429,0.9514695830485305,0.892088712346905,0.8155146693187469,0.8488564799469672,0.9646799116997793,0.9382151029748284,0.6623853211009174,0.6546052631578947,0.9023066485753053,0.904621435594887,0.9111709286675639,0.8499184339314845,0.9540153282239253,0.910574412532637,0.9308300395256917,0.8820116054158608,0.896942631398145,0.8863090472377902,0.8735177865612648,0.9407480966567362,0.9634794156706508,0.8310249307479224,0.7969094922737306,0.9645569620253165,0.8956639566395664,0.926906779661017,0.8631404958677686,0.6056910569105691,0.9579191517561298,0.7697368421052632,0.9518434913468774,0.8878248974008208,0.8575342465753425,0.9647338080705324,0.7054986020503262,0.9450819672131148,0.9867892016082711,0.9779077322936972,0.9909722222222223,0.9914802981895634,0.958808618504436,0.8130217028380634,0.8083242059145673,0.7545971247074557,0.6927835051546392,0.8549848942598187,0.8527472527472527,0.8682065217391305,0.8065843621399177,0.9055330634278003,0.8820093457943925,0.6256781193490054,0.9128712871287129,0.8322858087992061,0.8638667632150615,0.9077277970011534,0.7652892561983471,0.7803311929705982,0.2651685393258427,0.8116374487131667,0.952076677316294,0.8131487889273357,0.9386823222439661,0.4847457627118644,0.9228235294117647,0.9467515070328199,0.9297365119196989,0.9614105123087159,0.9453993933265925,0.9513513513513514,0.8728171334431631,0.8481338481338482,0.8704628704628704,0.9389312977099237,0.9473339875695126,0.895102400384411,0.8638826510772905,0.895102400384411
f1-score,0.9366508430184973,0.8588957055214723,0.9675691758405237,0.9077274209325074,0.8875349909435205,0.8393039918116685,0.8361083904668626,0.970033296337403,0.944700460829493,0.7420349434737924,0.7107142857142856,0.9106470386853818,0.8868894601542416,0.9062918340026773,0.883050847457627,0.9626765299260256,0.9185185185185185,0.9544072948328268,0.9097256857855363,0.8955582232893158,0.882775119617225,0.8947368421052632,0.9114817190506737,0.9571240105540898,0.7915567282321899,0.8294083859850659,0.9682337992376113,0.9254462723136156,0.939345142243693,0.8344519015659956,0.645021645021645,0.947092547092547,0.8432432432432432,0.9465020576131687,0.926481084939329,0.8968481375358165,0.9667006455997282,0.7812177502579979,0.9544701986754967,0.9896313364055299,0.9826967025791709,0.9916608756080612,0.9888475836431228,0.9497802887633396,0.8481365377917102,0.8168234643054786,0.7396362444699328,0.7832167832167832,0.7811514195583596,0.8425624321389793,0.862930452397029,0.8394004282655246,0.9316209649427283,0.9115605191669183,0.6673095467695275,0.8731060606060606,0.8156913600259361,0.8655904226374025,0.8938103350369108,0.8094405594405594,0.6957962935061022,0.4013605442176871,0.8421052631578947,0.9644012944983819,0.852994555353902,0.9498349834983497,0.4965277777777778,0.9403020858307359,0.9196486662329213,0.929153605015674,0.9523809523809524,0.9403285283271874,0.9542168674698795,0.8662524525833879,0.8662504107788367,0.8958190541466758,0.9447320086825847,0.9554602441438469,0.895102400384411,0.8746582829974153,0.8950099128366426
support,3026.0,180.0,1680.0,2926.0,3021.0,2011.0,3017.0,453.0,437.0,545.0,304.0,2948.0,3051.0,2972.0,613.0,3001.0,3064.0,506.0,1034.0,2911.0,1249.0,253.0,3021.0,3012.0,361.0,906.0,395.0,2952.0,944.0,3025.0,246.0,3018.0,304.0,1329.0,731.0,365.0,2949.0,1073.0,1220.0,1741.0,3078.0,1440.0,2817.0,1578.0,2995.0,913.0,2991.0,485.0,2317.0,455.0,1472.0,243.0,1482.0,1712.0,553.0,1515.0,3023.0,2762.0,867.0,605.0,2959.0,445.0,2681.0,313.0,289.0,3066.0,295.0,2125.0,2986.0,797.0,3006.0,2967.0,1665.0,3035.0,1554.0,3003.0,3013.0,3057.0,0.895102400384411,137353.0,137353.0
