,address,affiliate,affiliation,age,album,area,artist,birthdate,birthplace,brand,capacity,category,city,class,classification,club,code,collection,command,company,component,continent,country,county,creator,credit,currency,day,depth,description,director,duration,education,elevation,family,filesize,format,gender,genre,grades,industry,isbn,jockey,language,location,manufacturer,name,nationality,notes,operator,order,organisation,origin,owner,person,plays,position,product,publisher,range,rank,ranking,region,religion,requirement,result,sales,service,sex,species,state,status,symbol,team,teamname,type,weight,year,accuracy,macro avg,weighted avg
precision,0.9380952380952381,0.7272727272727273,0.9838709677419355,0.9770667399066191,0.9096117122851687,0.9190283400809717,0.9042601923957856,0.9841269841269841,1.0,0.7247706422018348,0.8333333333333334,0.9705473742706308,0.9534883720930233,0.9022887323943662,0.9325842696629213,0.9735376044568245,0.9722742600224803,0.9615384615384616,0.7142857142857143,0.9518970189701897,0.8705035971223022,1.0,0.8822209758833427,0.9679144385026738,0.7857142857142857,0.7721518987341772,0.9701492537313433,0.9653846153846154,0.8785714285714286,0.9605041270968314,0.8181818181818182,0.9535759096612296,0.9722222222222222,0.9842931937172775,0.9919354838709677,0.8376068376068376,0.970125786163522,0.9907578558225508,0.7663043478260869,1.0,0.9298642533936652,0.995575221238938,0.9215686274509803,0.8148148148148148,0.9208855017238251,0.7197452229299363,0.94439697265625,0.8135593220338984,0.9307479224376731,0.7857142857142857,0.855,0.95,0.9586776859504132,0.930379746835443,0.8666666666666667,0.9489795918367347,0.9023923444976076,0.8643067846607669,0.7590361445783133,0.9272727272727272,0.9220705346985211,0.7272727272727273,0.790273556231003,1.0,0.7857142857142857,0.9654205607476636,0.95,0.9434628975265018,0.9408450704225352,0.8194444444444444,0.9771949828962372,0.9687827362245967,0.9695181907571289,0.9578261286303077,0.9304347826086956,0.9148568963037538,0.9838337182448037,0.983293113049935,0.9477070533708098,0.9082285285053181,0.9477985531654511
recall,0.9369797859690844,0.3076923076923077,0.9242424242424242,0.9910851093467057,0.9370491803278689,0.7964912280701755,0.9147358665430955,0.9538461538461539,0.8888888888888888,0.5683453237410072,0.6363636363636364,0.8730317420644839,0.9677114803625377,0.8471074380165289,0.8383838383838383,0.9584095063985375,0.9614672100778066,0.8522727272727273,0.6172839506172839,0.9237343852728468,0.711764705882353,0.52,0.9129425420777714,0.905,0.5641025641025641,0.8840579710144928,0.9285714285714286,0.8537414965986394,0.917910447761194,0.9613573776316958,0.5454545454545454,0.9476309226932669,0.9722222222222222,0.8744186046511628,0.9044117647058824,0.8909090909090909,0.9405487804878049,0.950354609929078,0.88125,0.9863013698630136,0.9762470308788599,0.9868421052631579,0.9373219373219374,0.934640522875817,0.9466517440775974,0.743421052631579,0.9674857750265742,0.6486486486486487,0.666005946481665,0.5641025641025641,0.8181818181818182,0.9047619047619048,0.5631067961165048,0.7819148936170213,0.3611111111111111,0.8899521531100478,0.9076034648700674,0.7897574123989218,0.8709677419354839,0.75,0.9503615399648231,0.14545454545454545,0.8,1.0,0.3142857142857143,0.9658719027582983,0.6333333333333333,0.956989247311828,0.8743455497382199,0.7283950617283951,0.9771949828962372,0.9691888492978411,0.9526570048309179,0.9633664320832932,0.8806584362139918,0.9601509433962264,0.9867963863794301,0.9902785567395775,0.9477070533708098,0.8308477658702321,0.9477070533708098
f1-score,0.9375371802498512,0.43243243243243246,0.9531249999999999,0.9840260009681212,0.92312661498708,0.8533834586466166,0.9094678645473392,0.96875,0.9411764705882353,0.6370967741935485,0.7216494845360825,0.9192105263157895,0.9605472776684473,0.8738277919863598,0.8829787234042553,0.9659143251957624,0.9668405365126675,0.9036144578313254,0.662251655629139,0.9376042709376042,0.7831715210355987,0.6842105263157895,0.8973188819167143,0.9354005167958656,0.6567164179104477,0.8243243243243245,0.948905109489051,0.9061371841155234,0.8978102189781023,0.9609305629550701,0.6545454545454545,0.9505941213258287,0.9722222222222222,0.9261083743842365,0.9461538461538461,0.8634361233480177,0.9551083591331269,0.9701357466063348,0.819767441860465,0.993103448275862,0.9524913093858632,0.9911894273127753,0.9293785310734464,0.8706240487062404,0.9335908756438558,0.7313915857605178,0.9558019581801896,0.7218045112781954,0.7764298093587522,0.6567164179104477,0.8361858190709046,0.9268292682926829,0.7094801223241589,0.8497109826589595,0.5098039215686274,0.9185185185185185,0.9049904030710173,0.8253521126760562,0.8111587982832619,0.8292682926829268,0.9360023096910787,0.2424242424242424,0.7951070336391438,1.0,0.44897959183673464,0.9656461790137882,0.7599999999999999,0.9501779359430605,0.9063772048846676,0.7712418300653595,0.9771949828962372,0.9689857502095557,0.9610136452241714,0.9605882918388926,0.9048625792811839,0.9369568419502134,0.9853128252573147,0.9867734724292102,0.9477070533708098,0.858705418957241,0.9469436152893069
support,841.0,26.0,198.0,7179.0,1525.0,285.0,2158.0,65.0,54.0,139.0,55.0,4001.0,5296.0,1210.0,99.0,2188.0,2699.0,88.0,81.0,1521.0,170.0,25.0,1723.0,600.0,39.0,138.0,70.0,588.0,134.0,11257.0,33.0,802.0,36.0,215.0,136.0,220.0,656.0,564.0,160.0,219.0,421.0,228.0,351.0,306.0,5361.0,152.0,15993.0,74.0,1009.0,39.0,209.0,21.0,206.0,188.0,36.0,209.0,2078.0,371.0,217.0,68.0,5117.0,55.0,325.0,38.0,35.0,2139.0,30.0,279.0,382.0,81.0,4385.0,4771.0,1035.0,10373.0,243.0,6625.0,4317.0,5349.0,0.9477070533708098,120609.0,120609.0
