,address,affiliate,affiliation,age,album,area,artist,birthdate,birthplace,brand,capacity,category,city,class,classification,club,code,collection,command,company,component,continent,country,county,creator,credit,currency,day,depth,description,director,duration,education,elevation,family,filesize,format,gender,genre,grades,industry,isbn,jockey,language,location,manufacturer,name,nationality,notes,operator,order,organisation,origin,owner,person,plays,position,product,publisher,range,rank,ranking,region,religion,requirement,result,sales,service,sex,species,state,status,symbol,team,teamname,type,weight,year,accuracy,macro avg,weighted avg
precision,0.12768772742308965,0.75,0.7394636015325671,0.942327150084317,0.6182232346241457,0.39676840215439857,0.6966082743197913,0.7671232876712328,0.5384615384615384,0.4411764705882353,0.32786885245901637,0.9515699840340607,0.8937985966243125,0.778496362166532,0.7321428571428571,0.9102914389799636,0.9370988446726572,0.8518518518518519,0.35714285714285715,0.7508551881413911,0.38095238095238093,0.92,0.8198097369893677,0.7717842323651453,0.23300970873786409,0.34615384615384615,0.92,0.8333333333333334,0.808,0.9424987940183309,0.08333333333333333,0.665989847715736,0.7346938775510204,0.6985645933014354,0.9024390243902439,0.8947368421052632,0.8102766798418972,0.9799635701275046,0.7128712871287128,0.9519650655021834,0.9367945823927766,1.0,0.7399577167019028,0.8532934131736527,0.9261672095548317,0.5240174672489083,0.9501633986928104,0.5483870967741935,0.6091854419410745,0.2897196261682243,0.5580645161290323,0.5428571428571428,0.7465437788018433,0.4851190476190476,0.05,0.49725274725274726,0.6160358565737052,0.19027611044417767,0.6047904191616766,0.46788990825688076,0.7428192664604507,0.14705882352941177,0.27901785714285715,0.9047619047619048,0.4489795918367347,0.9422985216976634,0.12280701754385964,0.7645348837209303,0.5882352941176471,0.436046511627907,0.9431869624264373,0.9321239298817774,0.90625,0.9466024612092028,0.3125,0.9665766374071574,0.9687814702920443,0.9849825138860316,0.821572187813513,0.6717104077039623,0.8835692171151805
recall,0.9179548156956004,0.46153846153846156,0.9747474747474747,0.7783813901657612,0.8898360655737705,0.775438596491228,0.866079703429101,0.8615384615384616,0.9074074074074074,0.2158273381294964,0.36363636363636365,0.8937765558610348,0.889916918429003,0.7958677685950413,0.8282828282828283,0.9136197440585009,0.8114116339384957,0.7840909090909091,0.5555555555555556,0.8658777120315582,0.8,0.92,0.8502611723737666,0.93,0.6153846153846154,0.782608695652174,0.9857142857142858,0.8758503401360545,0.753731343283582,0.8678155814160078,0.5757575757575758,0.8179551122194514,1.0,0.6790697674418604,0.8161764705882353,0.2318181818181818,0.9375,0.9539007092198581,0.9,0.9954337899543378,0.9857482185273159,0.9649122807017544,0.9971509971509972,0.9313725490196079,0.7955605297519119,0.7894736842105263,0.7271931470018133,0.6891891891891891,0.6967294350842418,0.7948717948717948,0.8277511961722488,0.9047619047619048,0.7864077669902912,0.8670212765957447,0.3888888888888889,0.8660287081339713,0.595283926852743,0.8544474393530997,0.9308755760368663,0.75,0.6570256009380496,0.18181818181818182,0.7692307692307693,1.0,0.6285714285714286,0.9237961664329126,0.4666666666666667,0.942652329749104,0.2094240837696335,0.9259259259259259,0.9502850627137971,0.9584992664011738,0.81256038647343,0.8527908994504965,0.6584362139917695,0.8643018867924528,0.6685198054204309,0.8951205832865956,0.821572187813513,0.7839622706677407,0.821572187813513
f1-score,0.2241905038478293,0.5714285714285714,0.840958605664488,0.8525440537035625,0.7295698924731183,0.5249406175771971,0.7721545135302623,0.8115942028985507,0.6758620689655174,0.2898550724637681,0.3448275862068965,0.9217682691068437,0.8918535339199545,0.7870862280343277,0.7772511848341231,0.9119525547445255,0.869737887212073,0.8165680473372782,0.43478260869565216,0.8042748091603052,0.5161290322580645,0.92,0.8347578347578347,0.8435374149659863,0.33802816901408456,0.48,0.9517241379310346,0.8540630182421227,0.7799227799227799,0.9036166867079826,0.14559386973180075,0.7341913822048125,0.8470588235294119,0.6886792452830188,0.8571428571428571,0.3682310469314079,0.8692579505300354,0.9667565139263252,0.7955801104972375,0.9732142857142857,0.9606481481481483,0.9821428571428572,0.8495145631067962,0.890625,0.8559100943206903,0.6299212598425196,0.8238586051783374,0.6107784431137725,0.6500231160425335,0.42465753424657526,0.6666666666666667,0.6785714285714285,0.7659574468085106,0.6221374045801527,0.08860759493670886,0.631762652705061,0.6054821341164953,0.3112420225822288,0.7332123411978221,0.576271186440678,0.6972933734315047,0.1626016260162602,0.40950040950040956,0.9500000000000001,0.5238095238095237,0.9329556185080264,0.19444444444444442,0.8443017656500802,0.3088803088803089,0.5928853754940712,0.9467227081676702,0.9451276221969619,0.8568517575140091,0.8972512425195254,0.423841059602649,0.9125826759104311,0.7911184210526316,0.9379040156709108,0.821572187813513,0.6949583130668374,0.8424099089929781
support,841.0,26.0,198.0,7179.0,1525.0,285.0,2158.0,65.0,54.0,139.0,55.0,4001.0,5296.0,1210.0,99.0,2188.0,2699.0,88.0,81.0,1521.0,170.0,25.0,1723.0,600.0,39.0,138.0,70.0,588.0,134.0,11257.0,33.0,802.0,36.0,215.0,136.0,220.0,656.0,564.0,160.0,219.0,421.0,228.0,351.0,306.0,5361.0,152.0,15993.0,74.0,1009.0,39.0,209.0,21.0,206.0,188.0,36.0,209.0,2078.0,371.0,217.0,68.0,5117.0,55.0,325.0,38.0,35.0,2139.0,30.0,279.0,382.0,81.0,4385.0,4771.0,1035.0,10373.0,243.0,6625.0,4317.0,5349.0,0.821572187813513,120609.0,120609.0
